レーン１,レーン２Big,レーン３,レーン４,レーン５Big,レーン6,1,1,1,1
,,1,,1,,,,,
1,,,,,,,,,
2,,,,,,,,,
,,,,,,,,,
3,,,,,,,,,
,,1,,,,,,,
,1,,1,,,,,,
,,,,,1,,,,
,,,1,,,,,,
,,,,,1,,,,
,,,1,,,,,,
1,,,,1,,,,,
,,1,,,,,,,
,,1,,,,,,,
,,,,,,,,,
1,,,,,,,,,
,,,,,,,,,
,2,,,2,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,3,,,3,,,,,
1,,,,1,,,,,
,,1,,,,,,,
2,,,,,,,,,
,,,,,,,,,
3,,,,,,,,,
,,1,,,,,,,
,1,,,,1,,,,
,,,1,,,,,,
,,,,,1,,,,
,,,1,,,,,,
,,,,,1,,,,
,,,1,,,,,,
1,,,,1,,,,,
,,1,,,,,,,
1,,,,,,,,,
,,1,,,,,,,
1,,,1,,,,,,
,,1,,,,,,,
,2,,,2,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,3,,,3,,,,,
0,,,,,,,,,
